Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-June-2016,738.75,747.30,733.10,746.05,742.989175668373230530,179503,6314,133368786.00,60769,33.85,14.20,7.30
10-June-2016,746.00,747.20,739.25,741.60,743.093199976091331115,250955,8219,186482954.00,115248,45.92,7.95,-4.40
9-June-2016,738.05,744.95,731.90,742.60,739.265661791946350866,318514,9896,235466463.00,136144,42.74,13.05,4.55
8-June-2016,742.00,745.00,734.75,738.45,738.645935676321926159,253437,8249,187200210.00,101253,39.95,10.25,-3.55
7-June-2016,727.00,741.75,710.05,738.80,732.529719371068737647,565658,16936,414361296.00,242616,42.89,31.70,11.80
6-June-2016,750.00,750.25,723.75,725.95,732.505455236959076488,730949,22643,535424130.00,413280,56.54,26.50,-24.05
3-June-2016,750.00,751.00,735.30,738.25,741.334061250362077591,531654,15766,394133219.00,276253,51.96,15.70,-11.75
2-June-2016,759.95,759.95,745.00,746.85,747.689323762713034218,405686,15223,303327091.00,195968,48.31,14.95,-13.10
1-June-2016,769.00,771.80,753.25,755.40,759.974385914852663091,827084,25475,628562655.00,389397,47.08,18.55,-13.60
31-May-2016,798.00,807.70,757.10,762.70,767.879559300645775223,1740234,54820,1336290117.00,716265,41.16,50.60,-35.30
30-May-2016,831.00,842.05,808.55,812.50,817.266132165090474620,612658,18923,500704634.00,239274,39.06,33.50,-18.50
27-May-2016,792.00,829.45,792.00,825.50,816.103570842484191855,286403,13295,233734511.00,112126,39.15,37.45,33.50
26-May-2016,783.55,788.75,774.65,780.05,780.093071318684508432,172255,6392,134374932.00,61770,35.86,14.10,-3.50
25-May-2016,773.50,790.20,771.95,786.90,781.818739362225879506,71091,3626,55580276.00,24074,33.86,18.25,13.40
24-May-2016,784.00,788.40,771.00,772.80,774.190499340804218852,121360,4718,93955759.00,75451,62.17,17.40,-11.20
23-May-2016,790.00,792.25,779.75,784.30,783.663238646643748869,138175,4993,108282668.00,72902,52.76,12.50,-5.70
20-May-2016,801.00,801.00,789.10,792.05,792.650268680133359482,254950,6363,202086186.00,184572,72.40,11.90,-8.95
19-May-2016,799.00,799.00,789.60,792.40,792.173283985643662039,187513,6694,148542789.00,121498,64.79,9.40,-6.60
18-May-2016,799.50,799.50,791.00,795.20,794.817687806596993610,215674,4980,171421510.00,140240,65.02,8.50,-4.30
17-May-2016,808.00,808.00,797.10,800.00,800.247711304631469614,232993,4521,186452115.00,152541,65.47,10.90,-8.00
16-May-2016,797.00,803.45,791.95,797.95,796.388861504083074546,121722,3706,96938045.00,59328,48.74,11.50,0.95
13-May-2016,800.10,804.30,792.30,795.00,795.324413300720565875,226905,6323,180463086.00,136626,60.21,12.00,-5.10
12-May-2016,800.00,807.35,796.75,803.65,802.278478290690819841,269723,5941,216392958.00,167161,61.98,10.60,3.65
11-May-2016,800.00,805.95,792.30,796.10,799.293114253575445926,124460,4518,99480021.00,48623,39.07,13.65,-3.90
10-May-2016,810.00,811.00,800.50,802.40,805.377882679788574052,84947,3052,68414435.00,33079,38.94,10.50,-7.60
9-May-2016,807.00,811.20,796.50,804.75,804.648399357391951726,127605,5325,102677159.00,50876,39.87,14.70,-2.25
6-May-2016,810.00,814.80,802.10,804.10,807.537080137529754033,75620,3260,61065954.00,33038,43.69,12.70,-5.90
5-May-2016,824.60,827.40,806.60,810.90,816.990402358542757510,280173,9850,228898652.00,119422,42.62,20.80,-13.70
4-May-2016,799.00,804.95,787.10,802.75,798.263808603751273564,189429,8998,151214315.00,58407,30.83,17.85,3.75
3-May-2016,811.65,813.35,780.55,798.35,799.637624415314658942,506469,15802,404991668.00,237153,46.82,32.80,-13.30
2-May-2016,810.00,816.15,804.50,811.45,810.800520121761223364,83442,2958,67654817.00,29972,35.92,11.65,1.45
29-April-2016,805.00,812.95,802.10,811.30,808.549821393778008702,153970,3529,124492416.00,65351,42.44,10.85,6.30
28-April-2016,820.00,820.00,801.25,802.55,804.809527328667953667,663040,7023,533620909.00,527920,79.62,18.75,-17.45
27-April-2016,814.00,815.45,809.20,813.90,813.390208476352205802,138385,3387,112561004.00,70202,50.73,6.25,-0.10
26-April-2016,809.00,817.30,797.00,814.10,809.056751661461921479,242407,8208,196121020.00,82143,33.89,20.30,5.10
25-April-2016,820.90,821.00,802.50,808.95,808.780517711171662125,344980,6785,279013103.00,210006,60.87,18.50,-11.95
22-April-2016,830.90,830.90,818.10,820.15,822.286591449842658684,156348,5747,128562864.00,86916,55.59,12.80,-10.75
21-April-2016,828.05,837.60,827.00,832.50,832.028240467848651226,150989,5082,125627112.00,52177,34.56,10.60,4.45
20-April-2016,838.05,838.05,825.00,827.90,830.155694075559650929,92245,3363,76577712.00,40938,44.38,13.05,-10.15
18-April-2016,834.90,840.95,828.75,836.75,836.043202394800419740,122933,3933,102777299.00,38125,31.01,12.20,1.85
13-April-2016,825.95,834.25,822.30,831.75,829.291863325969070094,238992,5708,198194121.00,99373,41.58,11.95,5.80
12-April-2016,821.00,827.00,816.00,823.60,822.606656438836532139,159695,5479,131366170.00,55278,34.61,11.00,2.60
11-April-2016,823.70,825.95,809.90,816.70,816.701690171210333073,16095115,8145,13144907624.00,15934258,99.00,16.05,-7.00
8-April-2016,809.00,817.65,807.55,811.80,812.916408489206249275,120718,6672,98133643.00,42033,34.82,10.10,2.80
7-April-2016,810.15,822.85,805.65,812.45,816.783579568910517032,239811,6318,195873687.00,119482,49.82,17.20,2.30
6-April-2016,805.00,811.20,798.50,809.60,805.130521266015327912,119651,4620,96334672.00,27923,23.34,12.70,4.60
5-April-2016,818.00,818.00,799.00,800.55,807.192046788279058664,452421,7322,365190633.00,69473,15.36,19.00,-17.45
4-April-2016,820.00,821.00,811.50,815.95,815.583864143847690680,85090,3310,69398031.00,22122,26.00,9.50,-4.05
1-April-2016,825.00,825.00,809.85,816.15,815.259580923749277994,143697,9336,117150356.00,38219,26.60,15.15,-8.85
31-March-2016,814.65,828.55,813.05,819.45,822.237118908409830578,140419,4886,115457714.00,36734,26.16,15.50,4.80
30-March-2016,812.00,815.00,801.00,811.60,809.049820112035865297,231533,7253,187321732.00,49078,21.20,14.00,-0.40
29-March-2016,812.00,812.00,770.80,794.05,789.256447310349676023,512074,18558,404157706.00,121801,23.79,41.20,-17.95
28-March-2016,849.90,850.00,805.60,811.05,819.973291597626810625,299344,10401,245454085.00,78079,26.08,44.40,-38.85
23-March-2016,845.00,852.30,835.00,846.60,845.116330139027068266,193991,6391,163944962.00,41918,21.61,17.30,1.60
22-March-2016,842.00,846.50,832.75,844.10,842.458572500883080183,181184,4930,152640014.00,54939,30.32,13.75,2.10
21-March-2016,820.00,838.40,817.00,835.65,827.099485095923419561,227421,7872,188099792.00,63953,28.12,21.40,15.65
18-March-2016,828.00,829.80,799.00,815.90,809.595646841135833898,474506,12340,384157992.00,139983,29.50,30.80,-12.10
17-March-2016,845.95,845.95,822.00,828.20,828.780055996006486359,322523,7433,267300630.00,133454,41.38,23.95,-17.75
16-March-2016,845.00,849.00,822.50,836.65,830.937619449180472751,271559,8612,225648589.00,44344,16.33,26.50,-8.35
15-March-2016,862.00,862.00,840.30,843.90,847.419721181992886240,212827,5700,180353797.00,105671,49.65,21.70,-18.10
14-March-2016,870.00,876.00,858.55,864.00,864.018580249308574721,16031378,5407,13851408459.00,15909051,99.24,17.45,-6.00
11-March-2016,855.50,870.00,844.20,867.75,857.779978886537441702,201767,8039,173071693.00,34153,16.93,25.80,12.25
10-March-2016,863.10,868.70,847.10,865.15,857.404251456680233068,170765,6534,146414637.00,31817,18.63,21.60,2.05
9-March-2016,860.00,863.50,838.15,860.10,849.870845088527606946,295614,10129,251233720.00,60306,20.40,25.35,0.10
8-March-2016,857.30,870.75,851.50,858.10,861.023681293696356505,140744,6176,121183917.00,48777,34.66,19.25,0.80
4-March-2016,868.00,874.95,853.05,857.20,858.921849760369524877,149814,4827,128678518.00,44318,29.58,21.90,-10.80
3-March-2016,857.05,873.00,853.00,870.35,864.630386298798449972,215222,7475,186087481.00,45812,21.29,20.00,13.30
2-March-2016,873.00,875.45,850.15,852.30,863.084331452017944854,234942,10509,202774759.00,63833,27.17,25.30,-20.70
