Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-September-2016,1218.00,1218.00,1173.85,1179.50,1188.070183746921765485,10558,1508,12543645.00,3338,31.62,44.15,-38.50
9-September-2016,1250.00,1254.45,1209.95,1223.60,1237.306536302734021365,11046,1531,13667288.00,3005,27.20,44.50,-26.40
8-September-2016,1248.75,1263.00,1232.05,1237.50,1244.512134166392634001,15205,1811,18922807.00,3265,21.47,30.95,-11.25
7-September-2016,1271.10,1334.00,1220.00,1242.90,1275.943078239389485741,289854,8813,369837205.00,215818,74.46,114.00,-28.20
6-September-2016,1295.00,1295.00,1250.00,1258.85,1261.833660731259109055,15781,2092,19912997.00,4283,27.14,45.00,-36.15
2-September-2016,1230.00,1295.00,1210.00,1272.45,1264.165237189283597916,128252,12894,162131720.00,15594,12.16,85.00,42.45
1-September-2016,1190.00,1193.25,1175.00,1183.15,1184.844666896789782533,2897,482,3432495.00,912,31.48,18.25,-6.85
31-August-2016,1172.85,1193.40,1169.20,1186.40,1187.338452867408764266,7097,853,8426541.00,3256,45.88,24.20,13.55
30-August-2016,1173.30,1197.90,1167.10,1176.25,1179.054769317860175488,7066,937,8331201.00,3662,51.83,30.80,2.95
29-August-2016,1185.00,1185.00,1168.00,1171.35,1175.772568687309201918,4586,492,5392093.00,1702,37.11,17.00,-13.65
26-August-2016,1205.00,1205.00,1181.00,1187.45,1192.621681415929203539,2260,465,2695325.00,665,29.42,24.00,-17.55
25-August-2016,1181.00,1216.80,1177.10,1196.45,1203.290222129956404401,9634,1669,11592498.00,1911,19.84,39.70,15.45
24-August-2016,1190.00,1194.35,1175.00,1183.80,1184.411679436736384344,4829,924,5719524.00,1199,24.83,19.35,-6.20
23-August-2016,1200.00,1217.00,1162.45,1176.00,1188.865310954801866425,14359,2158,17070917.00,3723,25.93,54.55,-24.00
22-August-2016,1220.00,1231.10,1187.55,1196.70,1206.177169865368089372,6982,847,8421529.00,3063,43.87,43.55,-23.30
19-August-2016,1226.40,1235.95,1212.00,1225.10,1225.447350069735006973,8604,1012,10543749.00,2208,25.66,23.95,-1.30
18-August-2016,1231.00,1242.15,1221.00,1230.15,1230.266292243633194538,10327,1449,12704960.00,2347,22.73,21.15,-0.85
17-August-2016,1196.30,1236.85,1192.75,1228.30,1206.959554204271889356,104263,3073,125841224.00,87516,83.94,44.10,32.00
16-August-2016,1207.40,1213.95,1180.00,1189.05,1192.687375589313776846,9545,1412,11384201.00,2590,27.13,33.95,-18.35
12-August-2016,1198.00,1219.50,1188.00,1203.35,1205.091090425531914893,16544,2314,19937027.00,3139,18.97,31.50,5.35
11-August-2016,1190.50,1207.80,1181.00,1189.80,1194.736706579116776104,15534,1871,18559040.00,2607,16.78,26.80,-0.70
10-August-2016,1234.80,1234.80,1179.95,1182.80,1193.456803837414794243,19805,2299,23636412.00,4026,20.33,54.85,-52.00
9-August-2016,1215.95,1250.00,1170.05,1228.05,1222.482988505747126436,30450,3251,37224607.00,5614,18.44,79.95,12.10
8-August-2016,1229.90,1231.95,1182.10,1192.00,1198.918352373964993187,19082,2036,22877760.00,5845,30.63,49.85,-37.90
5-August-2016,1115.00,1252.40,1110.00,1218.45,1208.635021097046413502,105228,11376,127182246.00,16563,15.74,142.40,103.45
4-August-2016,1111.00,1127.00,1091.65,1109.15,1107.175753755646601533,9519,1252,10539206.00,2508,26.35,35.35,-1.85
3-August-2016,1115.00,1129.70,1093.00,1099.20,1112.445996978851963746,13240,2393,14728785.00,4819,36.40,36.70,-15.80
2-August-2016,1125.00,1130.00,1094.50,1110.45,1105.770213719922283664,13382,1688,14797417.00,2206,16.48,35.50,-14.55
1-August-2016,1145.00,1152.65,1103.00,1123.25,1127.550238937503878855,16113,1870,18168217.00,3537,21.95,49.65,-21.75
29-July-2016,1146.80,1169.65,1134.65,1145.10,1155.524942186983812355,66594,5750,76951028.00,9283,13.94,35.00,-1.70
28-July-2016,1115.00,1176.00,1112.40,1142.90,1148.627378190255220417,34480,2989,39604672.00,6889,19.98,63.60,27.90
27-July-2016,1099.00,1140.00,1095.30,1123.50,1120.057968626417084102,30344,2697,33987039.00,7904,26.05,44.70,24.50
26-July-2016,1100.00,1118.00,1081.00,1088.80,1097.502185792349726775,18300,1775,20084290.00,4672,25.53,37.00,-11.20
25-July-2016,1067.80,1102.75,1058.40,1096.85,1085.040549928699404000,27349,2119,29674774.00,6167,22.55,44.35,29.05
22-July-2016,1101.00,1124.75,1041.50,1064.20,1096.299818881254958312,66807,5560,73240502.00,14159,21.19,83.25,-36.80
21-July-2016,1070.00,1100.00,1051.30,1092.25,1086.545472291508513176,46105,4922,50095179.00,9953,21.59,48.70,22.25
20-July-2016,1132.00,1140.30,1065.05,1081.10,1094.487358152498506868,75345,5948,82464150.00,15065,19.99,75.25,-50.90
19-July-2016,1050.00,1147.00,1033.80,1114.35,1084.052843569264665381,87144,5980,94468701.00,13100,15.03,113.20,64.35
18-July-2016,1014.50,1034.90,1005.00,1025.55,1025.039847304293259425,19123,2152,19601837.00,4224,22.09,29.90,11.05
15-July-2016,1016.95,1020.85,1004.00,1007.45,1011.162801703738760056,6339,629,6409761.00,2741,43.24,16.85,-9.50
14-July-2016,1000.05,1025.00,992.80,1015.15,1014.725689541560764379,21246,2286,21558862.00,5046,23.75,32.20,15.10
13-July-2016,1011.75,1011.75,987.35,990.80,995.327916524119055764,5846,752,5818687.00,1597,27.32,24.40,-20.95
12-July-2016,996.65,1016.00,982.00,1008.10,1003.516408726459071415,10726,1163,10763717.00,4141,38.61,34.00,11.45
11-July-2016,1005.00,1014.00,986.85,992.75,999.460244507767258020,10879,1180,10873128.00,4605,42.33,27.15,-12.25
8-July-2016,1000.00,1004.65,966.50,999.55,989.235755136623596695,23605,2002,23350910.00,5614,23.78,38.15,-0.45
7-July-2016,1020.00,1045.00,987.65,996.70,1013.990389591187994381,27054,2132,27432496.00,9668,35.74,57.35,-23.30
5-July-2016,1013.25,1027.50,998.00,1010.95,1014.359957562897847832,13196,1320,13385494.00,3402,25.78,29.50,-2.30
4-July-2016,1027.00,1052.50,996.00,1003.05,1022.972499719384891682,26727,2346,27340986.00,7354,27.52,56.50,-23.95
1-July-2016,1024.75,1054.55,1016.95,1024.00,1035.827703523693803159,37035,3012,38361879.00,9224,24.91,37.60,-0.75
30-June-2016,987.90,1072.80,985.20,1011.05,1033.067865008338319351,78553,7971,81150580.00,8906,11.34,87.60,23.15
29-June-2016,965.50,995.00,965.50,978.70,980.530412615603509603,33736,1909,33079174.00,8460,25.08,29.50,13.20
28-June-2016,952.00,977.00,943.30,949.85,953.246279599532916020,261195,1381,248983162.00,253475,97.04,33.70,-2.15
27-June-2016,955.00,959.10,945.00,951.10,953.077010838562464346,7012,940,6682976.00,2212,31.55,14.10,-3.90
24-June-2016,937.50,955.00,891.40,944.95,927.106060606060606060,5346,722,4956309.00,1834,34.31,63.60,7.45
