Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-December-2015,318.00,321.80,317.50,321.30,320.253816693284542508,322465,5109,103270647.00,140525,43.58,4.30,3.30
9-December-2015,318.00,319.00,315.50,317.45,317.666075236265038039,379870,5371,120671812.00,124342,32.73,3.50,-0.55
8-December-2015,312.90,318.20,311.00,315.20,315.407455179700195696,608597,7554,191956031.00,139755,22.96,7.20,2.30
7-December-2015,336.00,336.05,310.70,313.55,318.559639665317375706,1459532,20570,464947988.00,623898,42.75,25.35,-22.45
4-December-2015,342.00,342.00,334.95,335.60,337.707565523599868404,246209,3469,83146642.00,82207,33.39,7.05,-6.40
3-December-2015,350.80,350.80,342.10,343.10,344.335522746424407530,173258,3444,59658884.00,68540,39.56,8.70,-7.70
2-December-2015,346.00,350.00,344.30,349.95,349.629312869578892308,1755038,2789,613612730.00,1566236,89.24,5.70,3.95
1-December-2015,344.00,346.90,342.05,346.15,344.347217496068350914,217466,2539,74883812.00,72621,33.39,4.85,2.15
30-November-2015,344.10,346.00,340.75,343.20,343.387228152632836772,100424,1838,34484319.00,31621,31.49,5.25,-0.90
27-November-2015,344.50,344.55,338.95,343.95,341.990223409982311774,104024,1870,35575191.00,28821,27.71,5.60,-0.55
26-November-2015,336.10,344.80,334.75,342.60,338.761900552716003806,192323,3246,65151705.00,64935,33.76,10.05,6.50
24-November-2015,338.70,339.40,332.40,336.00,336.363131969749684129,163833,1913,55107381.00,33709,20.58,7.00,-2.70
23-November-2015,344.00,344.85,336.30,337.40,338.243965877047428053,196466,3249,66453439.00,85152,43.34,8.55,-6.60
20-November-2015,353.00,353.00,343.15,344.40,347.894443810916506235,149077,2450,51863060.00,52421,35.16,9.85,-8.60
19-November-2015,348.00,353.00,348.00,352.05,351.042512656926342551,588413,4856,206557978.00,309567,52.61,5.00,4.05
18-November-2015,350.50,351.00,344.40,347.55,348.021680302503241428,221353,2878,77035643.00,64566,29.17,6.60,-2.95
17-November-2015,340.00,349.20,339.55,348.15,346.808123884357763148,348454,3756,120846678.00,114717,32.92,9.65,8.15
16-November-2015,332.00,339.05,329.80,338.30,335.902478750457771096,390479,4118,131162864.00,189367,48.50,9.25,6.30
13-November-2015,332.00,333.80,327.10,329.45,330.241339394808831022,202151,2717,66758617.00,70921,35.08,6.70,-2.55
11-November-2015,340.00,340.00,333.50,335.00,335.090059921197568952,140351,1271,47030225.00,78827,56.16,6.50,-5.00
10-November-2015,343.00,345.00,335.35,336.55,338.827548034428606980,116531,1563,39483913.00,26926,23.11,9.65,-6.45
9-November-2015,330.00,343.25,330.00,342.25,337.870613510362628355,196427,2978,66366911.00,44873,22.84,13.25,12.25
6-November-2015,335.00,338.95,335.00,336.90,337.305258284834784281,166328,2605,56103309.00,60690,36.49,3.95,1.90
5-November-2015,336.00,339.15,333.25,337.55,336.357015149184866195,520160,2917,174959465.00,97264,18.70,5.90,1.55
